Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt model sr sec school,2520004,ANDAMAN & NICOBAR,ANDAMAN,p.o. aberdeen bazaar pt blair a & n islands,744101,3192,"232589 ,",9434271748,,sarathandamans@gmail.com,,1995,4/1/1991 0:00,SHARA CHANDRAN G,2,"m.sc.,m.ed.",12,33,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2020,government,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520084,ANDAMAN & NICOBAR,ANDAMAN,"PARANGARA KISHORI NAGAR PANCHAYAT, DY EDU OFFICE, NORTH ANDAMAN",744206,3192,"279034 ,",272212,,gsssubashgram2@yahoo.co.in,,1961,4/1/1991 0:00,SRI G VIJAYAN,2,msc bed,2,20,Secondary School,Provisional,1/4/2014,31/3/2015,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520083,ANDAMAN & NICOBAR,ANDAMAN,SUBHASHGRAM DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744206,3192,"271030 ,",9332956199,,gssssubashgram2012@gmail.com,,1961,4/1/1991 0:00,SAFIA BIBI,2,MSc BEd,2,20,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2015,N.V.S,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520086,ANDAMAN & NICOBAR,ANDAMAN,arong andaman & nicobar island,744202,3193,"265037 ,",9434270820,,aronggss@gmail.com,,1961,4/1/1991 0:00,c. a. polus,0,b.a. b.ed.,,,Secondary School,Provisional,1/4/2012,31/3/2015,n.v.s,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520065,ANDAMAN & NICOBAR,ANDAMAN,WEBI MAYABUNDER P.O NORTH ANDAMAN A & N ISLANDS,744204,3192,"276662 ,",,,rnr@andaman.tn.nic.in,,1928,,Mr. SHRI JITENDRA GUPTA,1,MSc. BEd,4,31,Secondary School,Provisional,1/4/2010,31/3/2014,DIRECTOR OF EDUCATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520054,ANDAMAN & NICOBAR,ANDAMAN,MILETILAK VIA WIMBERLYGUNJ SOUTH ANDAMAN A & N ISLANDS,744206,3192,"281576 ,",9474205011,,rnr@andaman.tn.nic.in,,0,4/1/1991 0:00,Mr. MRN.K.TYAGI,1,"MSC,B.ED",7,24,Secondary School,Provisional,1/4/2012,31/3/2013,DIRECTOR EDUCATION ANDAMAN NICOBAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt seni secondary school,2520043,ANDAMAN & NICOBAR,ANDAMAN,laxmanpur neil kendra p.o. neil island south andaman a & n islands,744104,3192,"282618 ,",3192282618,,gsss_neil@yahoo.co.in,,1967,4/1/1991 0:00,mr. d. subbu lakshmi,2,m.a.,5,30,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2018,dept. of education - andaman,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school (telugu medium),2520006,ANDAMAN & NICOBAR,ANDAMAN,haddo post pt blair a & n islands,744102,3192,"232671 ,",9434280839,,bujji_hado@yahoo.co.in,,1963,4/1/1991 0:00,mr. mananjan ghosh,1,m.sc.b.ed,10,23,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2014,andaman and nicobar admn ptblair,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SECONDARY SCHOOL,2520030,ANDAMAN & NICOBAR,ANDAMAN,PAHALGAON P O TOGAPUR VIA MAYABUNDER MIDDLE ANDAMAN A & N ISLANDS,744204,3192,"276671 ,",276671,,chakraborty17aparna@gmail.com,,1964,,APARNA CHAKRABORTY,1,"M.A.,B.ED.",3,26,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2015,GOVT INSTITUTIN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT. MODEL SEC. SCHOOL,2520088,ANDAMAN & NICOBAR,ANDAMAN,"KAMORTA, NANCOWRY, DISTT. NICOBAR, A & N ISLAND",744303,,"03192272071 ,",9679584608,,KSANKARAN123@GMAIL.COM,,,,K. SANKARAN,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT. SECONDARY SCHOOL,2520060,ANDAMAN & NICOBAR,ANDAMAN,PASCHIM SAGAR DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202,3192,"272148 ,",272148,,rnr@andaman.tn.nic.in,,1975,1/1/1940 0:00,Mr. DEEPAK KUMAR PAUL,1,BSc. BEd,21,21,Secondary School,Provisional,1/4/2013,31/3/2015,station commander,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. secondary school,2520067,ANDAMAN & NICOBAR,ANDAMAN,p.o. calicut pt blair south andamans,744103,3192,"260041 ,",,,gsscalicut41@gmail.com,,1952,4/1/1991 0:00,BHAGIRATH ROY,2,m.a.,5,30,Secondary School,Provisional,1/4/2018,31/3/2020,dept. of education - andaman,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt. secondary school,2520010,ANDAMAN & NICOBAR,ANDAMAN,laxmipur nth andaman a & n islands,744202,3192,"271390 ,",3192271649,,hanifam63@gmail.com,,1956,4/1/1991 0:00,MOHD HANEEFA,1,"m.a, bed",22,22,Secondary School,Provisional,1/4/2015,31/3/2020,navodaya vidyalaya samiti,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQRA PUBLIC SCHOOL,2530018,ANDAMAN & NICOBAR,ANDAMAN,WIMBERLY GUNJ SOUTH ANDAMAN FERRAR GUNJ SOUTH ANDAMAN,744206,3192,"255375 ,",,,ashapb1984@gmail.com,,2000,7/1/2000 0:00,Mohan Kumar Das,2,,,,Secondary School,Provisional,1/4/2018,31/3/2019,Andaman Sunni Muslim Jamaeth,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,2540002,ANDAMAN & NICOBAR,ANDAMAN,PANCHAWATI RANGAT P.O DISTT NORTH & MIDDLE ANDAMAN A & N ISLANDS,744205,3192,"279092 ,",3192279092,279092,canaikker@gmail.com,http://www.jnvand.in,1987,3/31/2012 0:00,P RAMACHANDRAN,1,M.A. B.Ed.,12,20,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,NAVODAYA VIDYALAYA SAMITI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMARAJ ENG MED SCHOOL,2530006,ANDAMAN & NICOBAR,ANDAMAN,ABERDEEN BAZAR P B NO 157 PORT BLAIR A & N ISLANDS,,3192,"261526 ,",261526,,beenasantosh2001@gmail.com,,2000,6/1/2000 0:00,V S BEENA,2,"MA ,m.phill",9,9,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,infant jesus educational trust,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA NO.I,2500001,ANDAMAN & NICOBAR,ANDAMAN,NEAR ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744101,3192,"232411 ,",230802,232411,kvportblair1@gmail.com,http://www.prkv1portblair,1966,4/1/1991 0:00,C RAJI,1,M.ScPhysics B.Ed,2,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,KENDRIYA VIDYALAYA SANGATHAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalsa Public School,2530016,ANDAMAN & NICOBAR,ANDAMAN,"Gurudwara Dr.Diwan Singh Complex, PORT BLAIR. ANDAMAN",744101,3192,"242839 ,",827879,,sarab1971@rediffmail.com,,1999,8/2/2004 0:00,SARABJEET KAUR JAGPAL,0,"M.A.,B.Ed",25,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Gurudwara Dr. Diwan Singh,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M E S SCHOOL,2530004,ANDAMAN & NICOBAR,ANDAMAN,AZAD NAGAR STEWART GUNJ BAMBOOFLAT SOUTH ANDAMAN,744107,3192,"255251 ,",55270,255270,mes_sg@yahoo.com,,1996,4/1/2005 0:00,T HAMZA,1,M.A.Bed,14,20,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,St.Joseph's Trust,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M.E.S. SCHOOL, Salah Nagar, Ograbraj",2530019,ANDAMAN & NICOBAR,ANDAMAN,OGRABRAJ,744103,3192,"255270 ,",,3192255270,twahab.mes@gmail.com,,2000,7/1/2000 0:00,PUNAM DUNG DUNG,,"M.A, B.Ed M.Phil",3,5,Secondary School,Provisional,1/4/2016,31/3/2019,The Muslim Education Society Andamans,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHATMA GANDHI INTERNATIONAL SCHOOL,2530008,ANDAMAN & NICOBAR,ANDAMAN,BROOKSHABAD POST BOX 474 JANGLIGHAT PORT BLAIR-474,744107,319,"262333 ,",261446,,mgispb@gmail.com,,1996,4/1/2005 0:00,Augustina barla,1,"M.A.,B.Ed.,MPhil.",2,13,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,RAJBAI ANUSUYA DEVI GULECHHA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVY CHILDREN SCHOOL,2580001,ANDAMAN & NICOBAR,ANDAMAN,MINNIE BAY PORT BLAIR PO JUNGLIGHAT ANDAMAN & NICOBAR ISLANDS,744103,3192,"200827 ,",3192236175,225584,npspb@yahoo.co.in,,1996,4/1/2005 0:00,Mrs. ANITA DEVI,2,MSc BEd M Phil,5,11,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2022,NAVY EDN. SOCEITY,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Xavier School,(ENGLISH MEDIUM MIDDLE SCHOOL)",2530017,ANDAMAN & NICOBAR,ANDAMAN,"MANNARGHAT, FERRARGUNJ SOUTH ANDAMAN",744206,3192,"255510 ,",,,milan.aruj@gmail.com,,2007,7/2/2007 0:00,Milan Thomas Aruj,1,BA. B.Ed,6,3,Secondary School,Provisional,1/4/2013,31/3/2016,"Society of Pilar, Andamans",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMMAT PUBLIC SCHOOL,2530007,ANDAMAN & NICOBAR,ANDAMAN,MOHATMA GANDHI ROAD MIDDLE POINT ABERDEEN BAZAR PORT BLAIR (A&N ISLAND),744101,3192,"261686 ,",3192235143,319223113,kamaraj_ups@rediffmail.com,,1989,7/9/2003 0:00,K KAMARAJ,1,"M.A, M.A, M.Phil",12,12,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,ISLANDS ISLAMIC FOUNDATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivekanand kendra zila prishad vidyalaya,2520092,ANDAMAN & NICOBAR,ANDAMAN,basnti pur nth and middle andaman po nimbudera andaman and nicobar 744201,492001,3192,"276101 ,",,,sssanju76@gmail.com,,1980,4/1/1991 0:00,SANJAY SINGH,1,ma b.ed,,,Secondary School,Provisional,1/4/2018,31/3/2019,delhi administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVEKANANDA KENDRA VIDYALAYA,2530011,ANDAMAN & NICOBAR,ANDAMAN,"P.B.No.-501, Jungli Ghat Post,Port Blair Andaman & Nicobar Island",744104,3192,"274116 ,",70876,,shanmugarao444@gmail.com,http://portblair.vkv.in,1997,8/4/1997 0:00,CH SHANMUGA RAO,2,M.A.B.ED.,9,11,Secondary School,Provisional,1/4/2011,31/3/2016,VIVEKANANDA KENDRA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVEKANANDA KENDRA VIDYALAYA,2530003,ANDAMAN & NICOBAR,ANDAMAN,LAMBA LINE POST BOX NO.501 JUNGLIGHAT P.O PORT BLAIR A & N ISLANDS,744103,3192,"233426 , 33191",3192237125,,svkvkv@gmail.com,,1976,7/9/2003 0:00,S VIJAYAKUMAR,1,"M.Sc,M.A,B.Ed,M.Phil",16,20,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,SHIV SHAKTI EDUCATIONAL SOCIETY,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vivekananda kendra zilla parishad vidyalaya, pt mout",2520093,ANDAMAN & NICOBAR,ANDAMAN,"p.o. chouldari, port mout, near g s s school, dist. tehsil farargunj south andaman pin 744103",744103,,"03192220215 ,",,,ptblair@vkendra.g,,1981,4/1/1991 0:00,SITA DAS,0,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2018,chandigarh administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520041,ANDAMAN & NICOBAR,CAR NICOBAR,MUS CAR-NICOBAR A & N ISLANDS,744301,3193,"67223 ,",67711,2358390,rnr@andaman.tn.nic.in,,1947,4/1/1991 0:00,SH C APOLUS,1,"M.Sc., M.Phil., M.Ed.",10,10,Secondary School,Provisional,1/4/2016,31/3/2020,DEPT. OF EDUCATION - A&N ISLANDS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520051,ANDAMAN & NICOBAR,CAR NICOBAR,KAKANA CAR NICOBAR A & N ISLANDS,744301,,",",,,rnr@andaman.tn.nic.in,,1963,,BENDINUS,,,,,Secondary School,Provisional,1/4/2002,31/3/2007,GOVT SCHOOL,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SENIOR SECONDARY SCHOOL,2520037,ANDAMAN & NICOBAR,CAR NICOBAR,MALACCA CAR-NICOBAR A & N ISLANDS,744301,3193,"5275 ,",5308,,rnr@andaman.tn.nic.in,,1959,,MRS CHRISTINE SAMUEL RUFUS,,,,,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2007,D P I ARUNACHAL PRADESH,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520019,ANDAMAN & NICOBAR,CAR NICOBAR,SAWAI CAR-NICOBAR A & N ISLANDS,744301,,",",,,rnr@andaman.tn.nic.in,,1960,,S R SINGH,,,,,Senior Secondary,Provisional,1/4/1999,31/ 3/ 2005,GOVT.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520021,ANDAMAN & NICOBAR,CAR NICOBAR,LAPATHY CAR-NICOBAR A & N ISLANDS,744301,,",",67206,,rnr@andaman.tn.nic.in,,,,SH H NATHANIEL,,,,,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2007,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520053,ANDAMAN & NICOBAR,GREAT NICOBAR,gandhi nagar campbell bay great nicobar a & n islands,744302,3193,"264240 ,",84489,,SOBHAROY1964@MAIL.COM,,1980,4/1/1991 0:00,SOBHA ROY,2,m.a.,5,30,Secondary School,Provisional,1/4/2006,31/3/2014,a&n administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520022,ANDAMAN & NICOBAR,GREAT NICOBAR,campbell bay great nicobar a & n islands,744302,3193,"264240 , 64304",64304,,latasingh58@gmail.com,,1962,4/1/1991 0:00,LATA SINGH,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2014,dept. of education- a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520040,ANDAMAN & NICOBAR,GREAT NICOBAR,vijay nagar campbell bay great nicobar a & n islands,744302,3193,"9434298502 ,",64240,2358390,ritatewari720@gmail.com,,1974,4/1/1991 0:00,RITA TEWARI,1,"m.sc., m.phil., m.ed.",10,10,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2014,dept. of education - a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520049,ANDAMAN & NICOBAR,LITTLE ANDAMAN,harmander bay little andaman a & n islands,744207,3192,"282618 ,",84489,,rnr@andaman.tn.nic.in,,1968,4/1/1991 0:00,r p baghel,2,m.a.,5,30,Secondary School,Provisional,1/4/2016,31/3/2019,direct education deptt a n island,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520057,ANDAMAN & NICOBAR,LITTLE ANDAMAN,vivekanandapur via hutbay little andaman a & n islands,744207,3192,"282618 ,",84489,,rnr@andaman.tn.nic.in,,1975,4/1/1991 0:00,ashutosh mahanta,2,m.a.,5,30,Secondary School,Provisional,1/4/2013,31/3/2015,govt,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt senior secondary school,2520028,ANDAMAN & NICOBAR,LITTLE ANDAMAN,hut_bay p.o little andaman a & n islands,744207,3192,"84351 ,",84351,,rnr@andaman.tn.nic.in,,1968,4/1/1991 0:00,m p singh,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,andaman nicobar administration,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520020,ANDAMAN & NICOBAR,LITTLE ANDAMAN,ramkrishnapur post via hutbay little andaman a & n islands,744207,3192,"88039 ,",88112,,rnr@andaman.tn.nic.in,,1974,4/1/1991 0:00,g c chakrabty,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2015,dept. of education- a&n islands,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SEC SCHOOL,2520079,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,UTTARA KADAMTALA MIDDLE ANDEMAN,744209,3192,"50041 ,",86139,,rnr@andaman.tn.nic.in,,1961,4/1/1991 0:00,SMT ASHA KUMARI,2,M.A.,5,30,Secondary School,Provisional,1/4/2013,31/3/2017,NAVODAYA VIDYALAYA SAMITI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520062,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,KAUSHALYA NAGAR RANGAT MIDDLE ANDAMAN,744205,3192,"215946 ,",33340,,hemender2007@rediffmail.com,,1961,4/1/1991 0:00,H K ARYA,1,M.SC.B.Ed,10,23,Secondary School,Provisional,1/4/2012,31/3/2017,D.P.I ANDAMAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520027,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,GOVINDAPUR P O NIMBUDERA VIA-BETAPUR MIDDLE ANDAMAN A & N ISLANDS,744201,3192,"276067 ,",51177,,sudhansuroy62@gmail.com,,1980,4/1/1991 0:00,Sudhansu Kumar Roy,1,"M.A, BED",22,22,Secondary School,Provisional,1/4/2019,31/3/2022,GOVERNMENT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SECONDARY SCHOOL,2520048,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,CHAINPUR P.O PUDUMADURAI MAYABUNDER VIA MIDDLE ANDAMAN A & N ISLANDS,744204,3192,"9474282282 ,",22207271,,mohammed.rafiqu@gmail.com,,1963,4/1/1991 0:00,Mohammed Rafiqu,1,,,,Secondary School,Provisional,1/4/2007,31/3/2008,GOVERNMENT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520055,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,nimbutala (vill & po) middle andaman a & n islands,744205,3192,"215184 ,",84489,,salimvp65@gmail.com,,1962,4/1/1991 0:00,ABDUL SALIM,2,m.a.,5,30,Secondary School,Provisional,1/4/2015,31/3/2018,direct of education an island,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt secondary school,2520056,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,shivapuram village betapur post middle andaman a & n islands,744201,3192,"270092 ,",84489,,tnatarajan65@gmail.com,,1976,4/1/1991 0:00,NATARAJAN,2,m.a.,5,30,Secondary School,Provisional,1/4/2004,31/3/2016,govt education department a&n islan,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SENIOR SECONDARY SCHOOL,2520018,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,ORALKATCHA BARATANG ISLAND MIDDLE ANDAMAN A & N ISLANDS,744210,3192,"77064 ,",77112,,rnr@andaman.tn.nic.in,,1967,4/1/1991 0:00,AMJAD HUSSAIN,1,"M.A, BED",22,22,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2013,ANDAMAN AND NICOBAR ADMINISTRATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr sec school,2520013,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,rangat middle andaman middle andaman,744205,3192,"274242 ,",74076,,ritabanerjee.portblair@gmail.com,,1995,4/1/1991 0:00,RITA BANERJEE,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,directate of education pt blair,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520015,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,KADAMTALA VILLAGE & P O MIDDLE ANDAMAN A & N ISLANDS,744209,3192,"267064 ,",77112,,sunitachakraborthyvp14@gmail.com,,1976,4/1/1991 0:00,SUNITA CHAKRABORTY,1,"M.A, BED",22,22,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2014,DIRECTOR OF EDUCATION PORT BLAIR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520016,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,BAKULTALA P O BAKULTALA MIDDLE ANDAMAN A & N ISLANDS,744208,3192,"277536 ,",77589,,harishchandrarai1961@gmail.com,,1962,4/1/1991 0:00,HARISH CHANDRA RAI,1,M.SC.B.Ed,10,23,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,GOVERNMENT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVT SR SEC SCHOOL,2520026,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,LONG ISLAND POST MIDDLE ANDAMAN A & N ISLANDS,744203,3192,"78516 ,",,,rnr@andaman.tn.nic.in,,1973,,T N SINGH,,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,A & N ADMINISTRATION,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr secondary school,2520070,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,sabri jn. middle middle andaman,744205,3192,"274205 ,",74280,279092,principal.sab@gmail.com,http://www.jnvand.in,1989,3/31/2011 0:00,LOCHAN SINGH,1,"m. sc., m.ed, phd",12,20,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2014,d.p.i.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt sr secondary school,2520014,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,swadesh nagar p.o. middle andaman a & n islands,744201,319,"270781 ,",74076,,gsssswadeshnagar@rediffmail.com,,1974,4/1/1991 0:00,SURESH CHANDRA MAZUMDER,1,"m.a, bed",22,22,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,governmetn,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vivekananda kendra zilla parishad vidyalaya,",2520097,ANDAMAN & NICOBAR,MIDDLE ANDAMAN,"kadamtala, vill & post- kadamtala, middle andaman, pin- 744 209, andaman & nicobar island",,,",",,,,,,12/13/2017 0:00,.,0,,,,Secondary School,,Secondary School,,Secondary School,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govt model seni secondary school,2520073,ANDAMAN & NICOBAR,NANCOWRY,kamta nancowrie a & n islands,744206,,",",,,,,1961,3/31/2011 0:00,g sriniwas rao,0,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,d.p.i.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
